,Date,Username,Tweet,URL,Media,Likes,Retweets,Quote,Replies,Mentioned Users,Hashtags
0,2020-12-31 05:47:38+00:00,elonmusk,Ignore the heading,https://twitter.com/elonmusk/status/1344520570235457536,,34760,607,64,1027,,
1,2020-12-31 05:40:26+00:00,elonmusk,"Great interview with Mathias Döpfner
https://t.co/ewnaHc4cH0",https://twitter.com/elonmusk/status/1344518758707113986,,48085,2908,482,1513,,
2,2020-12-31 05:19:34+00:00,elonmusk,@jack 🎩 The Greatest Gatsby 🎩,https://twitter.com/elonmusk/status/1344513508323565569,,8457,352,77,365,"[User(username='jack', id=12, displayname='jack', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
3,2020-12-31 02:25:06+00:00,elonmusk,@flcnhvy Inspired by the ballet,https://twitter.com/elonmusk/status/1344469598893035521,,5941,137,12,188,"[User(username='flcnhvy', id=961490282687561728, displayname='Vivek Kene', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
4,2020-12-31 01:55:32+00:00,elonmusk,"@smvllstvrs @ErcXspace Rocket motion is primarily vertical, so you want the top open",https://twitter.com/elonmusk/status/1344462159560904706,,4062,102,14,210,"[User(username='smvllstvrs', id=171606294, displayname='Mike | smallstars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ErcXspace', id=1258538731054739456, displayname='Erc X', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
5,2020-12-31 01:05:35+00:00,elonmusk,@jack Let’s make the roaring 20’s again!,https://twitter.com/elonmusk/status/1344449590980874240,,44052,3236,578,2050,"[User(username='jack', id=12, displayname='jack', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
6,2020-12-30 19:49:23+00:00,elonmusk,@Erdayastronaut Might be a few lumps along the way,https://twitter.com/elonmusk/status/1344370017295503360,,4447,83,9,186,"[User(username='Erdayastronaut', id=3167257102, displayname='Everyday Astronaut', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
7,2020-12-30 18:31:31+00:00,elonmusk,"@Erdayastronaut @flcnhvy @ErcXspace Production is hard, prototypes are easy. Building ~1000 Starships to create a self-sustaining city on Mars is our mission.",https://twitter.com/elonmusk/status/1344350420735410177,,7513,573,106,283,"[User(username='Erdayastronaut', id=3167257102, displayname='Everyday Astronaut', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='flcnhvy', id=961490282687561728, displayname='Vivek Kene', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ErcXspace', id=1258538731054739456, displayname='Erc X', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
8,2020-12-30 18:18:12+00:00,elonmusk,@ICannot_Enough @AloysiusFekete @RationalEtienne @biogirl09 @ErcXspace Exactly,https://twitter.com/elonmusk/status/1344347067230027777,,1641,47,7,83,"[User(username='ICannot_Enough', id=367237480, displayname='James Stephenson', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AloysiusFekete', id=55534134, displayname='Aloysius Fekete', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RationalEtienne', id=2241150253, displayname='Pope of Muskanity', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='biogirl09', id=21106016, displayname='Mallory Tompsett #GigaTexas #FSDBetaTester', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ErcXspace', id=1258538731054739456, displayname='Erc X', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
9,2020-12-30 18:15:27+00:00,elonmusk,@RexChapman Haha,https://twitter.com/elonmusk/status/1344346377715761153,,8617,147,14,157,"[User(username='RexChapman', id=324703658, displayname='Rex Chapman🏇🏼', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
